pond,date,method,effort,species,mass,svl,tl,age/sex,development,genetic,temperature,deformed,comments,extra_toes,extra_limbs,fused_limbs,sum_deformity
Ellicott,5/28/2024,larval seine,90m full width + 90m half width,SCLTS,3.3,38,80,L,1,no,,0,,0,0,0,0
Ellicott,5/28/2024,larval seine,90m full width + 90m half width,SCLTS,4,36,82,L,1,no,,0,,0,0,0,0
Ellicott,5/28/2024,larval seine,90m full width + 90m half width,SCLTS,3.8,39,82,L,1,no,,0,,0,0,0,0
Ellicott,5/28/2024,larval seine,90m full width + 90m half width,SCLTS,2.8,34,68,L,1,no,,0,,0,0,0,0
Ellicott,5/28/2024,larval seine,90m full width + 90m half width,SCLTS,5.3,47,76,L,1,no,,0,TL tail damage; possible recap (clean tail clip),0,0,0,0
Ellicott,5/28/2024,larval seine,90m full width + 90m half width,SCLTS,3.28,37,80,L,1,no,,0,,0,0,0,0
Ellicott,5/28/2024,larval seine,90m full width + 90m half width,SCLTS,1,19,55,L,1,no,,0,leucistic,0,0,0,0
Ellicott,5/28/2024,larval seine,90m full width + 90m half width,SCLTS,2.99,36,55,L,1,no,,0,TL tail damage,0,0,0,0
Ellicott,5/28/2024,larval seine,90m full width + 90m half width,SCLTS,1.54,34,61,L,1,no,,0,,0,0,0,0
Ellicott,5/28/2024,larval seine,90m full width + 90m half width,SCLTS,3.51,41,70,L,1,no,,0,,0,0,0,0
Ellicott,5/28/2024,larval seine,90m full width + 90m half width,SCLTS,2.34,34,76,L,1,no,,0,Tail damage not affecting TL,0,0,0,0
Ellicott,5/28/2024,larval seine,90m full width + 90m half width,SCLTS,2.93,39,78,L,1,no,,0,,0,0,0,0
Ellicott,5/28/2024,larval seine,90m full width + 90m half width,SCLTS,3.44,40,71,L,1,no,,0,TL tail damage; likely a recapture,0,0,0,0
Ellicott,5/28/2024,larval seine,90m full width + 90m half width,SCLTS,3.54,41,70,L,1,no,,0,TL tail damage; not a recap,0,0,0,0
Ellicott,8/14/2024,larval dipnet,118,SCLTS,3.11,41,72,L,3,no,28.5,0,RESAMPLE; TL tail damage,0,0,0,0
Ellicott,8/14/2024,larval dipnet,118,SCLTS,4.35,45,96,L,1,no,28.5,0,RESAMPLE,0,0,0,0
Ellicott,8/14/2024,larval dipnet,118,SCLTS,3.85,44,82,L,1,no,28.5,0,RESAMPLE,0,0,0,0
Ellicott,8/14/2024,larval dipnet,118,SCLTS,3.85,43,87,L,1,no,28.5,0,RESAMPLE,0,0,0,0
Ellicott,8/14/2024,larval dipnet,118,SCLTS,3.37,44,96,L,3,no,28.5,0,RESAMPLE,0,0,0,0
Ellicott,8/14/2024,larval dipnet,118,SCLTS,3.67,43,86,L,1,no,28.5,0,RESAMPLE,0,0,0,0
Ellicott,8/14/2024,larval dipnet,118,SCLTS,2.55,40,77,L,1,no,28.5,0,RESAMPLE,0,0,0,0
Ellicott,8/18/2024,larval dipnet,86,SCLTS,2.79,41,85,L,4,no,29,0,RESAMPLE,0,0,0,0
Ellicott,8/18/2024,larval dipnet,86,SCLTS,3.01,42,91,L,4,no,29,0,RESAMPLE,0,0,0,0
Ellicott,8/18/2024,larval dipnet,86,SCLTS,2.99,42,90,L,4,no,29,0,RESAMPLE,0,0,0,0
Prospect,5/19/2024,larval seine,74m of full width seine,SCLTS,5.2,39,94,L,1,yes,,0,,0,0,0,0
Prospect,5/19/2024,larval seine,74m of full width seine,SCLTS,4.9,42,90,L,1,yes,,0,,0,0,0,0
Prospect,5/19/2024,larval seine,74m of full width seine,SCLTS,5,43,92,L,1,yes,,0,,0,0,0,0
Prospect,5/19/2024,larval seine,74m of full width seine,SCLTS,3.5,40,93,L,1,yes,,0,tail damage,0,0,0,0
Prospect,5/19/2024,larval seine,74m of full width seine,SCLTS,5,40,95,L,1,yes,,0,tail damage,0,0,0,0
Prospect,5/19/2024,larval seine,74m of full width seine,SCLTS,4.2,40,86,L,1,yes,,0,,0,0,0,0
Prospect,5/19/2024,larval seine,74m of full width seine,SCLTS,4.6,45,95,L,1,yes,,0,,0,0,0,0
Prospect,5/19/2024,larval seine,74m of full width seine,SCLTS,4.2,40,85,L,1,yes,,0,,0,0,0,0
Prospect,5/19/2024,larval seine,74m of full width seine,SCLTS,4.2,41,95,L,1,yes,,0,,0,0,0,0
Prospect,5/19/2024,larval seine,74m of full width seine,SCLTS,3.4,41,81,L,1,yes,,0,,0,0,0,0
Prospect,5/19/2024,larval seine,74m of full width seine,SCLTS,4.3,38,92,L,1,yes,,0,tail damage,0,0,0,0
Prospect,5/19/2024,larval seine,74m of full width seine,SCLTS,4.7,41,85,L,1,yes,,0,,0,0,0,0
Prospect,5/19/2024,larval seine,74m of full width seine,SCLTS,4.3,43,87,L,1,yes,,0,,0,0,0,0
Prospect,5/19/2024,larval seine,74m of full width seine,SCLTS,4.6,45,92,L,1,yes,,0,leech on tail,0,0,0,0
Prospect,5/19/2024,larval seine,74m of full width seine,SCLTS,4.1,41,86,L,1,yes,,0,,0,0,0,0
Prospect,5/19/2024,larval seine,74m of full width seine,SCLTS,3.4,36,85,L,1,yes,,0,,0,0,0,0
Prospect,5/19/2024,larval seine,74m of full width seine,SCLTS,3.7,37,86,L,1,yes,,0,,0,0,0,0
Prospect,5/19/2024,larval seine,74m of full width seine,SCLTS,4.8,43,92,L,1,yes,,0,,0,0,0,0
Prospect,5/19/2024,larval seine,74m of full width seine,SCLTS,4.9,43,92,L,1,yes,,0,,0,0,0,0
Prospect,5/19/2024,larval seine,74m of full width seine,SCLTS,4.5,45,96,L,1,yes,,0,,0,0,0,0
Prospect,5/19/2024,larval seine,74m of full width seine,SCLTS,4.1,42,90,L,1,yes,,0,,0,0,0,0
Prospect,5/19/2024,larval dipnet,326,SCLTS,4.3,41,83,L,1,yes,,0,,0,0,0,0
Prospect,5/19/2024,larval dipnet,326,SCLTS,3.9,44,86,L,1,yes,,0,leech on toes;TL tail damage,0,0,0,0
Prospect,5/19/2024,larval dipnet,326,SCLTS,4.8,44,73,L,1,yes,,0,leech on chest; TL tail damage,0,0,0,0
Prospect,5/19/2024,larval dipnet,326,SCLTS,3.8,44,93,L,1,yes,,0,,0,0,0,0
Prospect,6/24/24,larval dipnet,202,SCLTS,6.5,46,94,L,1,no,26.4,0,RESAMPLE,0,0,0,0
Prospect,6/24/24,larval dipnet,202,SCLTS,4.4,45,90,L,1,no,26.4,0,RESAMPLE,0,0,0,0
