date,pond,line,trap,mass,svl,tl,age_sex,gill nubs,comment,Overall Severity,Back Left Deformity?,Back Right Deformity?,Back Left Extra Toes,Back Right Extra Toes,Back Left Extra Limbs,Back Right Extra Limbs,Back Left Fused Limbs,Back Right Fused Limbs,Back Left Fused Toes,Back Right Fused Toes,Front Left Deformity?,Front Right Deformity?,Front Left Extra Toes,Front Right Extra Toes,Front Left Extra Limbs,Front Right Extra Limbs,Front Left Fused Limbs,Front Right Fused Limbs,Front Right Fused Toes,Front Left Fused Toes,extra_toes,extra_limbs,fused_limbs,fused_toes,sum_deformity
8/21/2024,Ellicott (inner),1,A,1.76,40,77,metamorph,0,9 back left toes; 6 back right toes; extra front left toe,,1,1,1,1,,,,,,,1,,1,,,,,,,,3,0,0,0,3
11/3/2024,Ellicott (inner),1,A,2.4,39,80,juvenile,0,Back legs with extra toes; back left extra hand; back right is fused,,1,1,1,1,1,,,1,,,,,,,,,,,,,2,1,1,0,4
11/2/2024,Ellicott (inner),8,A,1.52,42,74,juvenile,0,back left foot with 5 extra toes; 6 extra toes on back right foot (forms a clawfoot),,1,1,1,1,,,,,,,,,,,,,,,,,2,0,0,0,2
11/2/2024,Ellicott (inner),3,B,,,,juvenile,0,extra toes on both hind legs; both back legs fused,,1,1,1,1,,,1,1,,,,,,,,,,,,,2,0,2,0,4
11/23/2024,Ellicott (inner),2,BB,2.39,46,86,juvenile,0,extra back left toe; extra back right toe,,1,1,1,1,,,,,,,,,,,,,,,,,2,0,0,0,2
11/23/2024,Ellicott (inner),3,B,0.84,41,72,juvenile,0,extra back right toes; extra back left toes; back left leg fused to body,,1,1,1,1,,,1,,,,,,,,,,,,,,2,0,1,0,3
11/23/2024,Ellicott (inner),1,A,2.05,46,84,juvenile,0,both hind limbs fused to body; extra toes on both hind feet,,1,1,1,1,,,1,1,,,,,,,,,,,,,2,0,2,0,4
11/12/2024,Prospect,3,A,3.01,48,92,juvenile,0,10 toes on back right foot; 7 toes on back left foot,,1,1,1,1,,,,,,,,,,,,,,,,,2,0,0,0,2
7/19/2024,Ellicott (inner),6,A,2.13,43,81,metamorph,0,extra toes on both back feet; extra back left leg,,1,1,1,1,1,,,,,,,,,,,,,,,,2,1,0,0,3
7/24/2024,Ellicott (inner),5,A,2.37,42,85,metamorph,0,2 extra back right toes; extra front left toe,,,1,,1,,,,,,,1,,1,,,,,,,,2,0,0,0,2
8/7/2024,Ellicott (inner),2,B,2.37,45,89,metamorph,1,greater than 10 toes on both hind limbs,,1,1,1,1,,,,,,,,,,,,,,,,,2,0,0,0,2
